source,target,type,weight,evidence
project:ani-1,person:olexandr-isayev,AUTHORED,1.0,author
project:cmr-surgical-versius,person:massimillano-colella,AUTHORED,1.0,other
project:deepxde,person:lu-lu,AUTHORED,1.0,lead
project:fpinns-fractional-physics-informed-neural-networks,person:m-raissi,AUTHORED,1.0,author
project:fpinns-fractional-physics-informed-neural-networks,person:p-perdikaris,AUTHORED,1.0,author
project:fpinns-fractional-physics-informed-neural-networks,person:g-karniadakis,AUTHORED,1.0,author
project:google-scanned-objects,person:laura-downs,AUTHORED,1.0,author
project:google-scanned-objects,person:anthony-francis,AUTHORED,1.0,author
project:hyperganic,person:lin-kayser,AUTHORED,1.0,founder
project:jax-cfd,person:dmitrii-kochkov,AUTHORED,1.0,author
project:jax-cfd,person:jamie-a-smith,AUTHORED,1.0,author
project:jax-cfd,person:peter-norgaard,AUTHORED,1.0,author
project:jax-cfd,person:gideon-dresdner,AUTHORED,1.0,author
project:jax-cfd,person:ayya-alieva,AUTHORED,1.0,author
project:jax-cfd,person:stephan-hoyer,AUTHORED,1.0,author
project:jitx,person:joshua-pearson,AUTHORED,1.0,lead
project:lumi-ai,person:jason-lango,AUTHORED,1.0,founder
project:matbench,person:alex-dunn,AUTHORED,1.0,other
project:matbench,person:anubhav-jain,AUTHORED,1.0,lead
project:maziarraissihfm-hidden-fluid-mechanics,person:maziar-raissi,AUTHORED,1.0,author
project:maziarraissihfm-hidden-fluid-mechanics,person:alireza-yazdani,AUTHORED,1.0,author
project:maziarraissihfm-hidden-fluid-mechanics,person:george-em-karniadakis,AUTHORED,1.0,author
project:mvimgnet,person:xianggang-yu,AUTHORED,1.0,author
project:mvimgnet,person:mutian-xu,AUTHORED,1.0,author
project:mvimgnet,person:yidan-zhang,AUTHORED,1.0,author
project:mvimgnet,person:haolin-liu,AUTHORED,1.0,author
project:mvimgnet,person:chongjie-ye,AUTHORED,1.0,author
project:mvimgnet,person:yushuang-wu,AUTHORED,1.0,author
project:mvimgnet,person:zizheng-yan,AUTHORED,1.0,author
project:mvimgnet,person:chenming-zhu,AUTHORED,1.0,author
project:mvimgnet,person:zhangyang-xiong,AUTHORED,1.0,author
project:mvimgnet,person:tianyou-liang,AUTHORED,1.0,author
project:mvimgnet,person:guanying-chen,AUTHORED,1.0,author
project:mvimgnet,person:shuguang-cui,AUTHORED,1.0,author
project:mvimgnet,person:xiaoguang-han,AUTHORED,1.0,author
project:nx-cam-ai-copilot,person:michael-taesch,AUTHORED,1.0,lead
project:partnet,person:kevin-xu,AUTHORED,1.0,other
project:pdebench,person:makoto-takamoto,AUTHORED,1.0,lead
project:pdebench,person:timothy-praditia,AUTHORED,1.0,lead
project:pdebench,person:raphael-leiteritz,AUTHORED,1.0,other
project:pdebench,person:dan-mackinlay,AUTHORED,1.0,other
project:pdebench,person:francesco-alesiani,AUTHORED,1.0,other
project:pdebench,person:mathias-niepert,AUTHORED,1.0,other
project:phiflow,person:nils-thuerey,AUTHORED,1.0,lead
project:pycma,person:nikolaus-hansen,AUTHORED,1.0,author
project:pycma,person:youhei-akimoto,AUTHORED,1.0,author
project:pycma,person:petr-baudis,AUTHORED,1.0,author
project:realpdebench,person:peiyan-hu,AUTHORED,1.0,author
project:realpdebench,person:haodong-feng,AUTHORED,1.0,author
project:realpdebench,person:hongyuan-liu,AUTHORED,1.0,author
project:realpdebench,person:tongtong-yan,AUTHORED,1.0,author
project:realpdebench,person:wenhao-deng,AUTHORED,1.0,author
project:realpdebench,person:tianrun-gao,AUTHORED,1.0,author
project:realpdebench,person:rong-zheng,AUTHORED,1.0,author
project:realpdebench,person:haoren-zheng,AUTHORED,1.0,author
project:realpdebench,person:chenglei-yu,AUTHORED,1.0,author
project:realpdebench,person:chuanrui-wang,AUTHORED,1.0,author
project:realpdebench,person:kaiwen-li,AUTHORED,1.0,author
project:realpdebench,person:zhi-ming-ma,AUTHORED,1.0,author
project:realpdebench,person:dezhi-zhou,AUTHORED,1.0,author
project:realpdebench,person:xingcai-lu,AUTHORED,1.0,author
project:realpdebench,person:dixia-fan,AUTHORED,1.0,author
project:realpdebench,person:tailin-wu,AUTHORED,1.0,author
project:scanobjectnn,person:mikaela-angelina-uy,AUTHORED,1.0,author
project:scanobjectnn,person:quang-hieu-pham,AUTHORED,1.0,author
project:scanobjectnn,person:binh-son-hua,AUTHORED,1.0,author
project:scanobjectnn,person:duc-thanh-nguyen,AUTHORED,1.0,author
project:scanobjectnn,person:sai-kit-yeung,AUTHORED,1.0,author
project:senvol-ml,person:stephanie-koch,AUTHORED,1.0,other
project:text-to-cad-blender-add-on,person:jessie-frazelle,AUTHORED,1.0,founder
project:weatherbench,person:stephan-rasp,AUTHORED,1.0,author
project:weatherbench,person:peter-d-dueben,AUTHORED,1.0,author
project:weatherbench,person:sebastian-scher,AUTHORED,1.0,author
project:weatherbench,person:jonathan-a-weyn,AUTHORED,1.0,author
project:weatherbench,person:soukayna-mouatadid,AUTHORED,1.0,author
project:weatherbench,person:nils-thuerey,AUTHORED,1.0,author
