id,type,label,props
person:nils-thuerey,Person,Nils Thuerey,"{""count"": 2}"
person:olexandr-isayev,Person,Olexandr Isayev,"{""count"": 1}"
person:massimillano-colella,Person,Massimillano Colella,"{""count"": 1}"
person:lu-lu,Person,Lu Lu,"{""count"": 1}"
person:m-raissi,Person,M. Raissi,"{""count"": 1}"
person:p-perdikaris,Person,P. Perdikaris,"{""count"": 1}"
person:g-karniadakis,Person,G. Karniadakis,"{""count"": 1}"
person:laura-downs,Person,Laura Downs,"{""count"": 1}"
person:anthony-francis,Person,Anthony Francis,"{""count"": 1}"
person:lin-kayser,Person,Lin Kayser,"{""count"": 1}"
person:dmitrii-kochkov,Person,Dmitrii Kochkov,"{""count"": 1}"
person:jamie-a-smith,Person,Jamie A. Smith,"{""count"": 1}"
person:peter-norgaard,Person,Peter Norgaard,"{""count"": 1}"
person:gideon-dresdner,Person,Gideon Dresdner,"{""count"": 1}"
person:ayya-alieva,Person,Ayya Alieva,"{""count"": 1}"
person:stephan-hoyer,Person,Stephan Hoyer,"{""count"": 1}"
person:joshua-pearson,Person,Joshua Pearson,"{""count"": 1}"
person:jason-lango,Person,Jason Lango,"{""count"": 1}"
person:alex-dunn,Person,Alex Dunn,"{""count"": 1}"
person:anubhav-jain,Person,Anubhav Jain,"{""count"": 1}"
person:maziar-raissi,Person,Maziar Raissi,"{""count"": 1}"
person:alireza-yazdani,Person,Alireza Yazdani,"{""count"": 1}"
person:george-em-karniadakis,Person,George Em Karniadakis,"{""count"": 1}"
person:xianggang-yu,Person,Xianggang Yu,"{""count"": 1}"
person:mutian-xu,Person,Mutian Xu,"{""count"": 1}"
person:yidan-zhang,Person,Yidan Zhang,"{""count"": 1}"
person:haolin-liu,Person,Haolin Liu,"{""count"": 1}"
person:chongjie-ye,Person,Chongjie Ye,"{""count"": 1}"
person:yushuang-wu,Person,Yushuang Wu,"{""count"": 1}"
person:zizheng-yan,Person,Zizheng Yan,"{""count"": 1}"
person:chenming-zhu,Person,Chenming Zhu,"{""count"": 1}"
person:zhangyang-xiong,Person,Zhangyang Xiong,"{""count"": 1}"
person:tianyou-liang,Person,Tianyou Liang,"{""count"": 1}"
person:guanying-chen,Person,Guanying Chen,"{""count"": 1}"
person:shuguang-cui,Person,Shuguang Cui,"{""count"": 1}"
person:xiaoguang-han,Person,Xiaoguang Han,"{""count"": 1}"
person:michael-taesch,Person,Michael Taesch,"{""count"": 1}"
person:kevin-xu,Person,Kevin Xu,"{""count"": 1}"
person:makoto-takamoto,Person,Makoto Takamoto,"{""count"": 1}"
person:timothy-praditia,Person,Timothy Praditia,"{""count"": 1}"
person:raphael-leiteritz,Person,Raphael Leiteritz,"{""count"": 1}"
person:dan-mackinlay,Person,Dan MacKinlay,"{""count"": 1}"
person:francesco-alesiani,Person,Francesco Alesiani,"{""count"": 1}"
person:mathias-niepert,Person,Mathias Niepert,"{""count"": 1}"
person:nikolaus-hansen,Person,Nikolaus Hansen,"{""count"": 1}"
person:youhei-akimoto,Person,Youhei Akimoto,"{""count"": 1}"
person:petr-baudis,Person,Petr Baudis,"{""count"": 1}"
person:peiyan-hu,Person,Peiyan Hu,"{""count"": 1}"
person:haodong-feng,Person,Haodong Feng,"{""count"": 1}"
person:hongyuan-liu,Person,Hongyuan Liu,"{""count"": 1}"
person:tongtong-yan,Person,Tongtong Yan,"{""count"": 1}"
person:wenhao-deng,Person,Wenhao Deng,"{""count"": 1}"
person:tianrun-gao,Person,Tianrun Gao,"{""count"": 1}"
person:rong-zheng,Person,Rong Zheng,"{""count"": 1}"
person:haoren-zheng,Person,Haoren Zheng,"{""count"": 1}"
person:chenglei-yu,Person,Chenglei Yu,"{""count"": 1}"
person:chuanrui-wang,Person,Chuanrui Wang,"{""count"": 1}"
person:kaiwen-li,Person,Kaiwen Li,"{""count"": 1}"
person:zhi-ming-ma,Person,Zhi-Ming Ma,"{""count"": 1}"
person:dezhi-zhou,Person,Dezhi Zhou,"{""count"": 1}"
person:xingcai-lu,Person,Xingcai Lu,"{""count"": 1}"
person:dixia-fan,Person,Dixia Fan,"{""count"": 1}"
person:tailin-wu,Person,Tailin Wu,"{""count"": 1}"
person:mikaela-angelina-uy,Person,Mikaela Angelina Uy,"{""count"": 1}"
person:quang-hieu-pham,Person,Quang-Hieu Pham,"{""count"": 1}"
person:binh-son-hua,Person,Binh-Son Hua,"{""count"": 1}"
person:duc-thanh-nguyen,Person,Duc Thanh Nguyen,"{""count"": 1}"
person:sai-kit-yeung,Person,Sai-Kit Yeung,"{""count"": 1}"
person:stephanie-koch,Person,Stephanie Koch,"{""count"": 1}"
person:jessie-frazelle,Person,Jessie Frazelle,"{""count"": 1}"
person:stephan-rasp,Person,Stephan Rasp,"{""count"": 1}"
person:peter-d-dueben,Person,Peter D. Dueben,"{""count"": 1}"
person:sebastian-scher,Person,Sebastian Scher,"{""count"": 1}"
person:jonathan-a-weyn,Person,Jonathan A. Weyn,"{""count"": 1}"
person:soukayna-mouatadid,Person,Soukayna Mouatadid,"{""count"": 1}"
