id,type,label,props
venue:arxiv,Venue,arXiv,"{""kind"": ""preprint"", ""count"": 157}"
venue:ieee-xplore,Venue,IEEE Xplore,"{""kind"": ""publisher"", ""count"": 61}"
venue:springer,Venue,Springer,"{""kind"": ""publisher"", ""count"": 58}"
venue:github,Venue,GitHub,"{""kind"": ""code"", ""count"": 41}"
venue:elsevier-sciencedirect,Venue,Elsevier (ScienceDirect),"{""kind"": ""publisher"", ""count"": 40}"
venue:nature-portfolio,Venue,Nature Portfolio,"{""kind"": ""publisher"", ""count"": 31}"
venue:mdpi,Venue,MDPI,"{""kind"": ""publisher"", ""count"": 19}"
venue:acm-digital-library,Venue,ACM Digital Library,"{""kind"": ""publisher"", ""count"": 17}"
venue:doi-unknown-publisher,Venue,DOI (unknown publisher),"{""kind"": ""other"", ""count"": 17}"
venue:asme,Venue,ASME,"{""kind"": ""publisher"", ""count"": 15}"
venue:siemens,Venue,Siemens,"{""kind"": ""other"", ""count"": 12}"
venue:aip,Venue,AIP,"{""kind"": ""other"", ""count"": 9}"
venue:synopsys,Venue,Synopsys,"{""kind"": ""other"", ""count"": 9}"
venue:cadence,Venue,Cadence,"{""kind"": ""other"", ""count"": 8}"
venue:taylor-francis,Venue,Taylor & Francis,"{""kind"": ""other"", ""count"": 8}"
venue:autodesk,Venue,Autodesk,"{""kind"": ""other"", ""count"": 7}"
venue:oxford-univ-press,Venue,Oxford Univ Press,"{""kind"": ""other"", ""count"": 6}"
venue:readthedocs,Venue,Readthedocs,"{""kind"": ""other"", ""count"": 5}"
venue:github,Venue,Github,"{""kind"": ""other"", ""count"": 5}"
venue:sciml,Venue,Sciml,"{""kind"": ""other"", ""count"": 5}"
venue:hexagon,Venue,Hexagon,"{""kind"": ""other"", ""count"": 5}"
venue:rsc,Venue,RSC,"{""kind"": ""publisher"", ""count"": 4}"
venue:bentley,Venue,Bentley,"{""kind"": ""other"", ""count"": 4}"
venue:acs,Venue,ACS,"{""kind"": ""publisher"", ""count"": 4}"
venue:iop,Venue,IOP,"{""kind"": ""publisher"", ""count"": 4}"
venue:mathworks,Venue,Mathworks,"{""kind"": ""other"", ""count"": 4}"
venue:zoo,Venue,Zoo,"{""kind"": ""other"", ""count"": 4}"
venue:ios-press,Venue,IOS Press,"{""kind"": ""other"", ""count"": 3}"
venue:frontiers,Venue,Frontiers,"{""kind"": ""publisher"", ""count"": 3}"
venue:alpha3d,Venue,Alpha3D,"{""kind"": ""other"", ""count"": 3}"
venue:science,Venue,Science,"{""kind"": ""publisher"", ""count"": 3}"
venue:wolters-kluwer-health,Venue,Wolters Kluwer Health,"{""kind"": ""other"", ""count"": 3}"
venue:aaai,Venue,AAAI,"{""kind"": ""conference"", ""count"": 3}"
venue:3ds,Venue,3Ds,"{""kind"": ""other"", ""count"": 3}"
venue:ptc,Venue,Ptc,"{""kind"": ""other"", ""count"": 3}"
venue:aiaa,Venue,AIAA,"{""kind"": ""publisher"", ""count"": 3}"
venue:siam,Venue,SIAM,"{""kind"": ""publisher"", ""count"": 3}"
venue:optica,Venue,Optica,"{""kind"": ""other"", ""count"": 3}"
venue:nvidia,Venue,Nvidia,"{""kind"": ""other"", ""count"": 3}"
venue:cvf-cvpriccveccv,Venue,CVF (CVPR/ICCV/ECCV),"{""kind"": ""conference"", ""count"": 3}"
venue:neuralconcept,Venue,Neuralconcept,"{""kind"": ""other"", ""count"": 3}"
venue:rescale,Venue,Rescale,"{""kind"": ""other"", ""count"": 3}"
venue:simscale,Venue,Simscale,"{""kind"": ""other"", ""count"": 3}"
venue:annual-reviews,Venue,Annual Reviews,"{""kind"": ""other"", ""count"": 2}"
venue:adam,Venue,Adam,"{""kind"": ""other"", ""count"": 2}"
venue:akselos,Venue,Akselos,"{""kind"": ""other"", ""count"": 2}"
venue:backflip,Venue,Backflip,"{""kind"": ""other"", ""count"": 2}"
venue:ijcai,Venue,IJCAI,"{""kind"": ""other"", ""count"": 2}"
venue:cambridge-univ-press,Venue,Cambridge Univ Press,"{""kind"": ""other"", ""count"": 2}"
venue:american-physical-society,Venue,American Physical Society,"{""kind"": ""publisher"", ""count"": 2}"
venue:dfmpro,Venue,Dfmpro,"{""kind"": ""other"", ""count"": 2}"
venue:wiley,Venue,Wiley,"{""kind"": ""publisher"", ""count"": 2}"
venue:generate,Venue,Generate,"{""kind"": ""other"", ""count"": 2}"
venue:asce,Venue,ASCE,"{""kind"": ""other"", ""count"": 2}"
venue:hyperganic,Venue,Hyperganic,"{""kind"": ""other"", ""count"": 2}"
venue:inkbit3d,Venue,Inkbit3D,"{""kind"": ""other"", ""count"": 2}"
venue:pnas,Venue,PNAS,"{""kind"": ""other"", ""count"": 2}"
venue:luminary,Venue,Luminary,"{""kind"": ""other"", ""count"": 2}"
venue:materialise,Venue,Materialise,"{""kind"": ""other"", ""count"": 2}"
venue:monolithai,Venue,Monolithai,"{""kind"": ""other"", ""count"": 2}"
venue:onshape,Venue,Onshape,"{""kind"": ""other"", ""count"": 2}"
venue:openbom,Venue,Openbom,"{""kind"": ""other"", ""count"": 2}"
venue:physicsx,Venue,Physicsx,"{""kind"": ""other"", ""count"": 2}"
venue:poly,Venue,Poly,"{""kind"": ""other"", ""count"": 2}"
venue:polyga,Venue,Polyga,"{""kind"": ""other"", ""count"": 2}"
venue:rafinex,Venue,Rafinex,"{""kind"": ""other"", ""count"": 2}"
venue:senvol,Venue,Senvol,"{""kind"": ""other"", ""count"": 2}"
venue:slicer,Venue,Slicer,"{""kind"": ""other"", ""count"": 1}"
venue:3dflow,Venue,3Dflow,"{""kind"": ""other"", ""count"": 1}"
venue:prnewswire,Venue,Prnewswire,"{""kind"": ""other"", ""count"": 1}"
venue:plos,Venue,PLOS,"{""kind"": ""publisher"", ""count"": 1}"
venue:activsurgical,Venue,Activsurgical,"{""kind"": ""other"", ""count"": 1}"
venue:adamcad,Venue,Adamcad,"{""kind"": ""other"", ""count"": 1}"
venue:addiguru,Venue,Addiguru,"{""kind"": ""other"", ""count"": 1}"
venue:ai-build,Venue,Ai-Build,"{""kind"": ""other"", ""count"": 1}"
venue:rub,Venue,Rub,"{""kind"": ""other"", ""count"": 1}"
venue:altair,Venue,Altair,"{""kind"": ""other"", ""count"": 1}"
venue:altium,Venue,Altium,"{""kind"": ""other"", ""count"": 1}"
venue:berkeley,Venue,Berkeley,"{""kind"": ""other"", ""count"": 1}"
venue:ansys,Venue,Ansys,"{""kind"": ""other"", ""count"": 1}"
venue:aon3d,Venue,Aon3D,"{""kind"": ""other"", ""count"": 1}"
venue:apera,Venue,Apera,"{""kind"": ""other"", ""count"": 1}"
venue:apriori,Venue,Apriori,"{""kind"": ""other"", ""count"": 1}"
venue:aras,Venue,Aras,"{""kind"": ""other"", ""count"": 1}"
venue:graebert,Venue,Graebert,"{""kind"": ""other"", ""count"": 1}"
venue:arkio,Venue,Arkio,"{""kind"": ""other"", ""count"": 1}"
venue:artec3d,Venue,Artec3D,"{""kind"": ""other"", ""count"": 1}"
venue:astrus,Venue,Astrus,"{""kind"": ""other"", ""count"": 1}"
venue:augmenta,Venue,Augmenta,"{""kind"": ""other"", ""count"": 1}"
venue:authentise,Venue,Authentise,"{""kind"": ""other"", ""count"": 1}"
venue:date-conference,Venue,Date-Conference,"{""kind"": ""other"", ""count"": 1}"
venue:devpost,Venue,Devpost,"{""kind"": ""other"", ""count"": 1}"
venue:aveva,Venue,Aveva,"{""kind"": ""other"", ""count"": 1}"
venue:stanford,Venue,Stanford,"{""kind"": ""other"", ""count"": 1}"
venue:beyondmath,Venue,Beyondmath,"{""kind"": ""other"", ""count"": 1}"
venue:bostondynamics,Venue,Bostondynamics,"{""kind"": ""other"", ""count"": 1}"
venue:bricsys,Venue,Bricsys,"{""kind"": ""other"", ""count"": 1}"
venue:buildcad,Venue,Buildcad,"{""kind"": ""other"", ""count"": 1}"
venue:buildots,Venue,Buildots,"{""kind"": ""other"", ""count"": 1}"
venue:cadabrai,Venue,Cadabrai,"{""kind"": ""other"", ""count"": 1}"
venue:carbon3d,Venue,Carbon3D,"{""kind"": ""other"", ""count"": 1}"
venue:3dcastor,Venue,3Dcastor,"{""kind"": ""other"", ""count"": 1}"
venue:celus,Venue,Celus,"{""kind"": ""other"", ""count"": 1}"
venue:gevernova,Venue,Gevernova,"{""kind"": ""other"", ""count"": 1}"
venue:openai,Venue,Openai,"{""kind"": ""other"", ""count"": 1}"
venue:citrine,Venue,Citrine,"{""kind"": ""other"", ""count"": 1}"
venue:clarifai,Venue,Clarifai,"{""kind"": ""other"", ""count"": 1}"
venue:cloudnc,Venue,Cloudnc,"{""kind"": ""other"", ""count"": 1}"
venue:cmrsurgical,Venue,Cmrsurgical,"{""kind"": ""other"", ""count"": 1}"
venue:cofactr,Venue,Cofactr,"{""kind"": ""other"", ""count"": 1}"
venue:cognex,Venue,Cognex,"{""kind"": ""other"", ""count"": 1}"
venue:cognitive-design-systems,Venue,Cognitive-Design-Systems,"{""kind"": ""other"", ""count"": 1}"
venue:colabsoftware,Venue,Colabsoftware,"{""kind"": ""other"", ""count"": 1}"
venue:conformis,Venue,Conformis,"{""kind"": ""other"", ""count"": 1}"
venue:covariant,Venue,Covariant,"{""kind"": ""other"", ""count"": 1}"
venue:csm,Venue,Csm,"{""kind"": ""other"", ""count"": 1}"
venue:leica-geosystems,Venue,Leica-Geosystems,"{""kind"": ""other"", ""count"": 1}"
venue:sandia,Venue,Sandia,"{""kind"": ""other"", ""count"": 1}"
venue:aims-press,Venue,AIMS Press,"{""kind"": ""other"", ""count"": 1}"
venue:deeppcb,Venue,Deeppcb,"{""kind"": ""other"", ""count"": 1}"
venue:diabatix,Venue,Diabatix,"{""kind"": ""other"", ""count"": 1}"
venue:diligentrobots,Venue,Diligentrobots,"{""kind"": ""other"", ""count"": 1}"
venue:disperse,Venue,Disperse,"{""kind"": ""other"", ""count"": 1}"
venue:distalmotion,Venue,Distalmotion,"{""kind"": ""other"", ""count"": 1}"
venue:durolabs,Venue,Durolabs,"{""kind"": ""other"", ""count"": 1}"
venue:dzine,Venue,Dzine,"{""kind"": ""other"", ""count"": 1}"
venue:edgeimpulse,Venue,Edgeimpulse,"{""kind"": ""other"", ""count"": 1}"
venue:agu,Venue,AGU,"{""kind"": ""other"", ""count"": 1}"
venue:eigeninnovations,Venue,Eigeninnovations,"{""kind"": ""other"", ""count"": 1}"
venue:wscad,Venue,Wscad,"{""kind"": ""other"", ""count"": 1}"
venue:isij-international,Venue,ISIJ International,"{""kind"": ""other"", ""count"": 1}"
venue:global-science-press,Venue,Global Science Press,"{""kind"": ""other"", ""count"": 1}"
venue:rockwellautomation,Venue,Rockwellautomation,"{""kind"": ""other"", ""count"": 1}"
venue:faro,Venue,Faro,"{""kind"": ""other"", ""count"": 1}"
venue:fictiv,Venue,Fictiv,"{""kind"": ""other"", ""count"": 1}"
venue:firedrakeproject,Venue,Firedrakeproject,"{""kind"": ""other"", ""count"": 1}"
venue:flux,Venue,Flux,"{""kind"": ""other"", ""count"": 1}"
venue:forcam-enisco,Venue,Forcam-Enisco,"{""kind"": ""other"", ""count"": 1}"
venue:spe,Venue,SPE,"{""kind"": ""other"", ""count"": 1}"
venue:abb,Venue,Abb,"{""kind"": ""other"", ""count"": 1}"
venue:gibbscam,Venue,Gibbscam,"{""kind"": ""other"", ""count"": 1}"
venue:glean,Venue,Glean,"{""kind"": ""other"", ""count"": 1}"
venue:gnucleus,Venue,Gnucleus,"{""kind"": ""other"", ""count"": 1}"
venue:research,Venue,Research,"{""kind"": ""other"", ""count"": 1}"
venue:higharc,Venue,Higharc,"{""kind"": ""other"", ""count"": 1}"
venue:hitem3d,Venue,Hitem3D,"{""kind"": ""other"", ""count"": 1}"
venue:honeywell,Venue,Honeywell,"{""kind"": ""other"", ""count"": 1}"
venue:begell-house,Venue,Begell House,"{""kind"": ""other"", ""count"": 1}"
venue:hubs,Venue,Hubs,"{""kind"": ""other"", ""count"": 1}"
venue:sage-publishing,Venue,SAGE Publishing,"{""kind"": ""other"", ""count"": 1}"
venue:fiz-karlsruhe,Venue,Fiz-Karlsruhe,"{""kind"": ""other"", ""count"": 1}"
venue:iet,Venue,IET,"{""kind"": ""other"", ""count"": 1}"
venue:inbolt,Venue,Inbolt,"{""kind"": ""other"", ""count"": 1}"
venue:infinitform,Venue,Infinitform,"{""kind"": ""other"", ""count"": 1}"
venue:invisalign,Venue,Invisalign,"{""kind"": ""other"", ""count"": 1}"
venue:ironcad,Venue,Ironcad,"{""kind"": ""other"", ""count"": 1}"
venue:nist,Venue,Nist,"{""kind"": ""other"", ""count"": 1}"
venue:jitx,Venue,Jitx,"{""kind"": ""other"", ""count"": 1}"
venue:kaedim3d,Venue,Kaedim3D,"{""kind"": ""other"", ""count"": 1}"
venue:kitov,Venue,Kitov,"{""kind"": ""other"", ""count"": 1}"
venue:landing,Venue,Landing,"{""kind"": ""other"", ""count"": 1}"
venue:layer,Venue,Layer,"{""kind"": ""other"", ""count"": 1}"
venue:seg,Venue,SEG,"{""kind"": ""other"", ""count"": 1}"
venue:luminarycloud,Venue,Luminarycloud,"{""kind"": ""other"", ""count"": 1}"
venue:luminicad,Venue,Luminicad,"{""kind"": ""other"", ""count"": 1}"
venue:lychee,Venue,Lychee,"{""kind"": ""other"", ""count"": 1}"
venue:openreview,Venue,OpenReview,"{""kind"": ""review"", ""count"": 1}"
venue:markforged,Venue,Markforged,"{""kind"": ""other"", ""count"": 1}"
venue:mastercam,Venue,Mastercam,"{""kind"": ""other"", ""count"": 1}"
venue:masterpiecex,Venue,Masterpiecex,"{""kind"": ""other"", ""count"": 1}"
venue:materialsproject,Venue,Materialsproject,"{""kind"": ""other"", ""count"": 1}"
venue:zenodo,Venue,Zenodo,"{""kind"": ""other"", ""count"": 1}"
venue:meshy,Venue,Meshy,"{""kind"": ""other"", ""count"": 1}"
venue:mightyoakmedical,Venue,Mightyoakmedical,"{""kind"": ""other"", ""count"": 1}"
venue:tech-science-press,Venue,Tech Science Press,"{""kind"": ""other"", ""count"": 1}"
venue:mvtec,Venue,Mvtec,"{""kind"": ""other"", ""count"": 1}"
venue:nanonets,Venue,Nanonets,"{""kind"": ""other"", ""count"": 1}"
venue:neural4d,Venue,Neural4D,"{""kind"": ""other"", ""count"": 1}"
venue:neurocad,Venue,Neurocad,"{""kind"": ""other"", ""count"": 1}"
venue:neurpcb,Venue,Neurpcb,"{""kind"": ""other"", ""count"": 1}"
venue:google,Venue,Google,"{""kind"": ""other"", ""count"": 1}"
venue:ntop,Venue,Ntop,"{""kind"": ""other"", ""count"": 1}"
venue:onkossurgical,Venue,Onkossurgical,"{""kind"": ""other"", ""count"": 1}"
venue:theopenroadproject,Venue,Theopenroadproject,"{""kind"": ""other"", ""count"": 1}"
venue:openspace,Venue,Openspace,"{""kind"": ""other"", ""count"": 1}"
venue:oqton,Venue,Oqton,"{""kind"": ""other"", ""count"": 1}"
venue:ossdsign,Venue,Ossdsign,"{""kind"": ""other"", ""count"": 1}"
venue:paramatters,Venue,Paramatters,"{""kind"": ""other"", ""count"": 1}"
venue:particle3d,Venue,Particle3D,"{""kind"": ""other"", ""count"": 1}"
venue:path-robotics,Venue,Path-Robotics,"{""kind"": ""other"", ""count"": 1}"
venue:pcbdesigner,Venue,Pcbdesigner,"{""kind"": ""other"", ""count"": 1}"
venue:perplexity,Venue,Perplexity,"{""kind"": ""other"", ""count"": 1}"
venue:photoneo,Venue,Photoneo,"{""kind"": ""other"", ""count"": 1}"
venue:pix4d,Venue,Pix4D,"{""kind"": ""other"", ""count"": 1}"
venue:plataine,Venue,Plataine,"{""kind"": ""other"", ""count"": 1}"
venue:innovmetric,Venue,Innovmetric,"{""kind"": ""other"", ""count"": 1}"
venue:springer-epj,Venue,Springer (EPJ),"{""kind"": ""other"", ""count"": 1}"
venue:prometheanai,Venue,Prometheanai,"{""kind"": ""other"", ""count"": 1}"
venue:protolabs,Venue,Protolabs,"{""kind"": ""other"", ""count"": 1}"
venue:quicksurface,Venue,Quicksurface,"{""kind"": ""other"", ""count"": 1}"
venue:quilter,Venue,Quilter,"{""kind"": ""other"", ""count"": 1}"
venue:ragnar,Venue,Ragnar,"{""kind"": ""other"", ""count"": 1}"
venue:rangevision,Venue,Rangevision,"{""kind"": ""other"", ""count"": 1}"
venue:rapiddirect,Venue,Rapiddirect,"{""kind"": ""other"", ""count"": 1}"
venue:rapidsilicon,Venue,Rapidsilicon,"{""kind"": ""other"", ""count"": 1}"
venue:raven,Venue,Raven,"{""kind"": ""other"", ""count"": 1}"
venue:capturingreality,Venue,Capturingreality,"{""kind"": ""other"", ""count"": 1}"
venue:rendered,Venue,Rendered,"{""kind"": ""other"", ""count"": 1}"
venue:restor3d,Venue,Restor3D,"{""kind"": ""other"", ""count"": 1}"
venue:revopoint3d,Venue,Revopoint3D,"{""kind"": ""other"", ""count"": 1}"
venue:rgorobotics,Venue,Rgorobotics,"{""kind"": ""other"", ""count"": 1}"
venue:robocasa,Venue,Robocasa,"{""kind"": ""other"", ""count"": 1}"
venue:robonet,Venue,Robonet,"{""kind"": ""other"", ""count"": 1}"
venue:sablono,Venue,Sablono,"{""kind"": ""other"", ""count"": 1}"
venue:se,Venue,Se,"{""kind"": ""other"", ""count"": 1}"
